timestamp,tx_id,active_power_mw,current_amps
2024-01-03 06:30:00+00:00,brighton_local_33kv_gt1,18.17,301.83
2024-01-03 06:30:00+00:00,brighton_local_33kv_gt2,17.43,312.48
2024-01-03 07:00:00+00:00,brighton_local_33kv_gt1,19.56,324.43
2024-01-03 07:00:00+00:00,brighton_local_33kv_gt2,18.77,332.24
2024-01-03 07:30:00+00:00,brighton_local_33kv_gt1,20.94,347.0
2024-01-03 07:30:00+00:00,brighton_local_33kv_gt2,19.87,352.0
2024-01-03 08:00:00+00:00,brighton_local_33kv_gt2,21.56,367.08
2024-01-03 08:00:00+00:00,brighton_local_33kv_gt1,22.04,366.49
2024-01-03 08:30:00+00:00,brighton_local_33kv_gt2,22.68,376.91
2024-01-03 08:30:00+00:00,brighton_local_33kv_gt1,22.83,383.89
2024-01-03 09:00:00+00:00,brighton_local_33kv_gt1,24.01,400.7
2024-01-03 09:00:00+00:00,brighton_local_33kv_gt2,23.59,395.36
2024-01-03 09:30:00+00:00,brighton_local_33kv_gt1,24.45,409.18
2024-01-03 09:30:00+00:00,brighton_local_33kv_gt2,24.0,403.27
2024-01-03 10:00:00+00:00,brighton_local_33kv_gt1,24.85,414.99
2024-01-03 10:00:00+00:00,brighton_local_33kv_gt2,24.38,410.27
2024-01-03 10:30:00+00:00,brighton_local_33kv_gt2,24.77,417.28
2024-01-03 10:30:00+00:00,brighton_local_33kv_gt1,25.24,420.8
2024-01-03 11:00:00+00:00,brighton_local_33kv_gt2,25.15,424.28
2024-01-03 11:00:00+00:00,brighton_local_33kv_gt1,25.63,426.61
2024-01-03 11:30:00+00:00,brighton_local_33kv_gt1,26.03,432.43
2024-01-03 11:30:00+00:00,brighton_local_33kv_gt2,25.53,431.29
2024-01-03 12:00:00+00:00,brighton_local_33kv_gt1,26.32,434.26
2024-01-03 12:00:00+00:00,brighton_local_33kv_gt2,25.69,438.29
2024-01-03 12:30:00+00:00,brighton_local_33kv_gt1,26.46,429.81
2024-01-03 12:30:00+00:00,brighton_local_33kv_gt2,25.48,436.3
2024-01-03 13:00:00+00:00,brighton_local_33kv_gt1,26.59,425.29
2024-01-03 13:00:00+00:00,brighton_local_33kv_gt2,25.25,428.61
2024-01-03 13:30:00+00:00,brighton_local_33kv_gt1,26.72,421.12
2024-01-03 13:30:00+00:00,brighton_local_33kv_gt2,25.03,431.24
2024-01-03 14:00:00+00:00,brighton_local_33kv_gt1,26.85,424.68
2024-01-03 14:00:00+00:00,brighton_local_33kv_gt2,24.81,433.87
2024-01-03 14:30:00+00:00,brighton_local_33kv_gt1,26.99,431.41
2024-01-03 14:30:00+00:00,brighton_local_33kv_gt2,24.63,436.51
2024-01-03 15:00:00+00:00,brighton_local_33kv_gt1,27.12,438.14
2024-01-03 15:00:00+00:00,brighton_local_33kv_gt2,24.61,439.14
2024-01-03 15:30:00+00:00,brighton_local_33kv_gt1,27.25,444.87
2024-01-03 15:30:00+00:00,brighton_local_33kv_gt2,24.61,441.77
2024-01-03 16:00:00+00:00,brighton_local_33kv_gt2,24.61,443.08
2024-01-03 16:00:00+00:00,brighton_local_33kv_gt1,27.38,456.11
2024-01-03 16:30:00+00:00,brighton_local_33kv_gt1,27.42,470.43
2024-01-03 16:30:00+00:00,brighton_local_33kv_gt2,24.61,443.08
2024-01-03 18:00:00+00:00,brighton_local_33kv_gt1,28.17,468.43
2024-01-03 18:00:00+00:00,brighton_local_33kv_gt2,26.78,457.16
2024-01-03 18:30:00+00:00,brighton_local_33kv_gt2,26.42,449.99
2024-01-03 18:30:00+00:00,brighton_local_33kv_gt1,27.81,460.93
2024-01-03 19:00:00+00:00,brighton_local_33kv_gt2,25.82,437.97
2024-01-03 19:00:00+00:00,brighton_local_33kv_gt1,27.21,448.35
2024-01-03 19:30:00+00:00,brighton_local_33kv_gt2,25.03,425.78
2024-01-03 19:30:00+00:00,brighton_local_33kv_gt1,26.27,435.38
2024-01-03 20:00:00+00:00,brighton_local_33kv_gt1,24.88,418.23
2024-01-03 20:00:00+00:00,brighton_local_33kv_gt2,23.97,411.03
2024-01-03 20:30:00+00:00,brighton_local_33kv_gt1,23.77,399.93
2024-01-03 20:30:00+00:00,brighton_local_33kv_gt2,22.9,395.4
2024-01-03 21:00:00+00:00,brighton_local_33kv_gt1,22.75,381.63
2024-01-03 21:00:00+00:00,brighton_local_33kv_gt2,21.83,379.76
2024-01-03 21:30:00+00:00,brighton_local_33kv_gt2,20.77,364.13
2024-01-03 21:30:00+00:00,brighton_local_33kv_gt1,21.73,363.33
2024-01-03 22:00:00+00:00,brighton_local_33kv_gt1,20.7,345.03
2024-01-03 22:00:00+00:00,brighton_local_33kv_gt2,19.7,348.49
2024-01-03 22:30:00+00:00,brighton_local_33kv_gt1,19.68,327.0
2024-01-03 22:30:00+00:00,brighton_local_33kv_gt2,18.63,332.85
2024-01-03 23:00:00+00:00,brighton_local_33kv_gt1,18.82,315.36
2024-01-03 23:00:00+00:00,brighton_local_33kv_gt2,17.63,311.15
2024-01-03 23:30:00+00:00,brighton_local_33kv_gt1,18.29,306.44
2024-01-03 23:30:00+00:00,brighton_local_33kv_gt2,17.08,302.42
2024-01-04 00:00:00+00:00,brighton_local_33kv_gt2,16.61,296.69
2024-01-04 00:00:00+00:00,brighton_local_33kv_gt1,17.77,297.52
2024-01-04 00:30:00+00:00,brighton_local_33kv_gt1,17.24,288.6
2024-01-04 00:30:00+00:00,brighton_local_33kv_gt2,16.14,290.96
2024-01-04 01:00:00+00:00,brighton_local_33kv_gt1,16.75,279.68
2024-01-04 01:00:00+00:00,brighton_local_33kv_gt2,15.67,285.22
2024-01-04 01:30:00+00:00,brighton_local_33kv_gt2,15.34,279.49
2024-01-04 01:30:00+00:00,brighton_local_33kv_gt1,16.38,272.87
2024-01-04 02:00:00+00:00,brighton_local_33kv_gt1,16.04,268.72
2024-01-04 02:00:00+00:00,brighton_local_33kv_gt2,15.43,273.75
2024-01-04 02:30:00+00:00,brighton_local_33kv_gt1,15.71,264.59
2024-01-04 02:30:00+00:00,brighton_local_33kv_gt2,15.56,268.02
2024-01-04 03:00:00+00:00,brighton_local_33kv_gt2,15.69,262.8
2024-01-04 03:00:00+00:00,brighton_local_33kv_gt1,15.76,260.54
2024-01-04 03:30:00+00:00,brighton_local_33kv_gt2,15.82,263.87
2024-01-04 03:30:00+00:00,brighton_local_33kv_gt1,15.94,261.14
2024-01-04 04:00:00+00:00,brighton_local_33kv_gt2,15.95,266.81
2024-01-04 04:00:00+00:00,brighton_local_33kv_gt1,16.12,264.3
2024-01-04 04:30:00+00:00,brighton_local_33kv_gt2,16.08,269.74
2024-01-04 04:30:00+00:00,brighton_local_33kv_gt1,16.3,267.46
2024-01-04 05:00:00+00:00,brighton_local_33kv_gt2,16.21,272.68
2024-01-04 05:00:00+00:00,brighton_local_33kv_gt1,16.48,270.62
2024-01-04 05:30:00+00:00,brighton_local_33kv_gt2,16.34,275.63
2024-01-04 05:30:00+00:00,brighton_local_33kv_gt1,16.67,274.79
2024-01-04 06:00:00+00:00,brighton_local_33kv_gt1,17.67,296.62
2024-01-04 06:00:00+00:00,brighton_local_33kv_gt2,17.11,294.01
2024-01-04 06:30:00+00:00,brighton_local_33kv_gt2,18.34,313.64
2024-01-04 06:30:00+00:00,brighton_local_33kv_gt1,18.7,314.11
2024-01-04 07:00:00+00:00,brighton_local_33kv_gt2,20.01,332.07
2024-01-04 07:00:00+00:00,brighton_local_33kv_gt1,20.4,332.85
2024-01-04 07:30:00+00:00,brighton_local_33kv_gt1,21.6,353.45
2024-01-04 07:30:00+00:00,brighton_local_33kv_gt2,21.06,351.02
2024-01-04 08:00:00+00:00,brighton_local_33kv_gt1,22.75,374.06
2024-01-04 08:00:00+00:00,brighton_local_33kv_gt2,22.03,369.98
2024-01-04 08:30:00+00:00,brighton_local_33kv_gt2,23.0,388.94
2024-01-04 08:30:00+00:00,brighton_local_33kv_gt1,23.68,391.29
2024-01-04 09:00:00+00:00,brighton_local_33kv_gt1,24.16,401.67
2024-01-04 09:00:00+00:00,brighton_local_33kv_gt2,23.97,405.28
2024-01-04 09:30:00+00:00,brighton_local_33kv_gt2,24.61,414.16
2024-01-04 09:30:00+00:00,brighton_local_33kv_gt1,24.64,411.84
2024-01-04 10:00:00+00:00,brighton_local_33kv_gt1,25.11,422.02
2024-01-04 10:00:00+00:00,brighton_local_33kv_gt2,24.98,422.59
2024-01-04 10:30:00+00:00,brighton_local_33kv_gt1,25.58,432.12
2024-01-04 10:30:00+00:00,brighton_local_33kv_gt2,25.34,431.02
2024-01-04 11:00:00+00:00,brighton_local_33kv_gt2,25.71,437.57
2024-01-04 11:00:00+00:00,brighton_local_33kv_gt1,26.06,437.98
2024-01-04 11:30:00+00:00,brighton_local_33kv_gt2,26.08,441.83
2024-01-04 11:30:00+00:00,brighton_local_33kv_gt1,26.53,441.51
2024-01-04 12:00:00+00:00,brighton_local_33kv_gt2,26.44,446.09
2024-01-04 12:00:00+00:00,brighton_local_33kv_gt1,26.92,445.03
2024-01-04 12:30:00+00:00,brighton_local_33kv_gt1,27.11,448.55
2024-01-04 12:30:00+00:00,brighton_local_33kv_gt2,26.74,450.35
2024-01-04 13:00:00+00:00,brighton_local_33kv_gt2,26.91,454.62
2024-01-04 13:00:00+00:00,brighton_local_33kv_gt1,27.28,452.07
2024-01-04 13:30:00+00:00,brighton_local_33kv_gt1,27.46,455.6
2024-01-04 13:30:00+00:00,brighton_local_33kv_gt2,27.09,458.88
2024-01-04 14:00:00+00:00,brighton_local_33kv_gt1,27.63,459.12
2024-01-04 14:00:00+00:00,brighton_local_33kv_gt2,27.27,463.14
2024-01-04 14:30:00+00:00,brighton_local_33kv_gt1,27.81,462.64
2024-01-04 14:30:00+00:00,brighton_local_33kv_gt2,27.44,467.4
2024-01-04 15:00:00+00:00,brighton_local_33kv_gt1,27.99,466.17
2024-01-04 15:00:00+00:00,brighton_local_33kv_gt2,27.62,471.66
2024-01-04 15:30:00+00:00,brighton_local_33kv_gt2,27.83,475.92
2024-01-04 15:30:00+00:00,brighton_local_33kv_gt1,28.42,472.99
2024-01-04 16:00:00+00:00,brighton_local_33kv_gt2,28.33,480.18
2024-01-04 16:00:00+00:00,brighton_local_33kv_gt1,28.97,482.26
2024-01-04 16:30:00+00:00,brighton_local_33kv_gt1,28.99,481.33
2024-01-04 16:30:00+00:00,brighton_local_33kv_gt2,28.81,481.66
2024-01-04 17:00:00+00:00,brighton_local_33kv_gt1,28.78,478.46
2024-01-04 17:00:00+00:00,brighton_local_33kv_gt2,28.68,478.4
2024-01-04 17:30:00+00:00,brighton_local_33kv_gt2,28.42,475.06
2024-01-04 17:30:00+00:00,brighton_local_33kv_gt1,28.56,475.6
2024-01-04 18:00:00+00:00,brighton_local_33kv_gt1,28.34,472.73
2024-01-04 18:00:00+00:00,brighton_local_33kv_gt2,28.15,471.72
